Composition,Source,Compressive strength (MPa)
FeCoNi1.5CuB0.5Y0.2,https://doi.org/10.1016/j.jallcom.2022.164310,1053.1
CoCrCuFeNiTi0.8,https://doi.org/10.1016/j.dib.2018.11.111,1042.0
FeCoNiCuMo0.2,https://doi.org/10.1016/j.vacuum.2020.109173,1041.0
FeCoNi1.5CuB0.5Y0.2,https://doi.org/10.1016/j.jallcom.2022.164310,1023.57
Ni1.5CoCuFeCr0.5,dx.doi.org/10.1016/j.jallcom.2015.11.205,1009.0
Al0.5CoCrCuFeNiSi0.8,http://dx.doi.org/10.1016/j.jallcom.2014.11.085,1006.0
AlCoCrCuFeMnNi,https://doi.org/10.1016/j.dib.2018.11.111,1005.0
AlCrFeCoNiCuMn,dx.doi.org/10.1016/j.matchar.2016.02.018,1005.0
Al1.125CuFe0.75NiTi1.125,https://doi.org/10.1016/j.dib.2018.11.111,980.0
Al22.5Cu20.0Fe15.0Ni20.0Ti22.5,https://doi.org/10.1016/j.dib.2018.11.111,980.0
AlCoCrCuFeNi,https://doi.org/10.1016/j.dib.2018.11.111,950.0
Al25.0Ti25.0Ni25.0Cu25.0,dx.doi.org/10.1016/j.apsusc.2015.07.207,870.0
NiCoCuFeCr,dx.doi.org/10.1016/j.jallcom.2015.11.205,869.0
FeCrNiCoCu0.5Al0.75,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,820.0
Al35.0Mg15.0Zn30.0Cu5.0Si15.0,https://doi.org/10.1016/j.jallcom.2021.163508,765.0
Al0.25CoCrCu0.75FeNiTi0.5,https://doi.org/10.1016/j.dib.2018.11.111,750.0
Ni1.8CoCuFeCr0.2,dx.doi.org/10.1016/j.jallcom.2015.11.205,747.0
Al35.0Mg20.0Zn30.0Cu5.0Si10.0,https://doi.org/10.1016/j.jallcom.2021.163508,718.0
CoCrCuFeNiTi0.5,https://doi.org/10.1016/j.dib.2018.11.111,700.0
CrFeCoNiCuTi0.5,dx.doi.org/10.1016/j.matchar.2016.02.018,700.0
Al0.5Si0.2CrFeCoNCu0.5,dx.doi.org/10.1016/j.matdes.2015.11.013,650.0
FeCrNiCoCu0.5Al0.7,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,630.0
(CuMnNi)90Sn10,https://doi.org/10.1016/j.dib.2018.11.111,630.0
Al35.0Mg25.0Zn30.0Cu5.0Si5.0,https://doi.org/10.1016/j.jallcom.2021.163508,559.0
Al0.4Si0.2CrFeCoNCu0.6,dx.doi.org/10.1016/j.matdes.2015.11.013,550.0
Al25.0Ti25.0Ni25.0Cu25.0,dx.doi.org/10.1016/j.apsusc.2015.07.207,536.0
(CuMnNi)90Al10,https://doi.org/10.1016/j.dib.2018.11.111,515.0
Al0.2Si0.2CrFeCoNiCu0.8,dx.doi.org/10.1016/j.matdes.2015.11.013,500.0
Al25.0Ti25.0Ni25.0Cu25.0,dx.doi.org/10.1016/j.apsusc.2015.07.207,498.0
Al8.0Cu0.5Li0.5Mg0.5Zn0.5,https://doi.org/10.1016/j.dib.2018.11.111,488.0
Al0.5CoCrCuFeNi,https://doi.org/10.1016/j.dib.2018.11.111,388.0
(CuMnNi)95Sn5,https://doi.org/10.1016/j.dib.2018.11.111,380.0
FeCrNiCoAl0.5Cu,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,350.0
FeCrNiCoCu0.5Al0.5,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,340.0
(CuMnNi)95Al5,https://doi.org/10.1016/j.dib.2018.11.111,330.0
FeCrNiCoAl0.5Cu0.5,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,325.0
FeCrNiCoAl0.5Cu0.75,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,320.0
AlCuNiTi,https://doi.org/10.1016/j.dib.2018.11.111,300.0
CoCrCuFeNi,https://doi.org/10.1016/j.dib.2018.11.111,230.0
(CuMnNi)75Zn25,https://doi.org/10.1016/j.dib.2018.11.111,215.0
(CuMnNi)80Zn20,https://doi.org/10.1016/j.dib.2018.11.111,140.0
