Unique ID,Composition,doi,Phases present,Density (g/cm3),Elastic Modulus (GPa),Compressive strength (MPa),σ(MPa) at 1000 C,σ(MPa) at 1200 C,Shear Modulus (GPa),C11 Elastic Constant (GPa),Fracture Toughness,Ductility (%),Test Type,Al,C,Co,Cr,Cu,Fe,Ga,Gd,Mg,Mn,Mo,Ni,Pb,Ti,V,Zn,Total_Composition,Num_Elements,Cu_Fe_Ratio,Has_FCC_Phase,Has_BCC_Phase,Has_HCP_Phase,Has_IM_Phase,Num_Phases,FCC,BCC,HCP,IM,Source,Hardness (HVN),Plasticity (%) - Compressive,Processing_Temperature_C,Processing_Temperature_K,Num_Crystal_Structures,Ag,B,Ca,Ge,Hf,Li,N,Nb,Nd,Pd,Re,Sc,Si,Sn,Ta,W,Y,Zr,Method_Other,Method_Unknown,Method_annealing,Method_arc_melting,Method_as_cast,Method_room_temperature,Method_sintering,Cu_Content,Fe_Content
9-132223242526272829-011212121212121212-000013_1,Al<sub>0.125</sub>Co<sub>1</sub>Cr<sub>1</sub>Cu<sub>1</sub>Fe<sub>1</sub>Mn<sub>1</sub>Ni<sub>1</sub>Ti<sub>1</sub>V<sub>1</sub>,10.1038/s41597-020-00768-9,,7.085,198.0,1862.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.015384615384615385,0.0,0.12307692307692308,0.12307692307692308,0.12307692307692308,0.12307692307692308,0.0,0.0,0.0,0.12307692307692308,0.0,0.12307692307692308,0.0,0.12307692307692308,0.12307692307692308,0.0,1.0,9,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1038/s41597-020-00768-9,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.12307692307692308,0.12307692307692308
6-132426272829-091818181818-000057_1,Al<sub>0.5</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC,7.085,198.0,400.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.005,0.0,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.0,0.0,0.0,0.0,0.0,0.19899999999999998,0.0,0.0,0.0,0.0,0.9999999999999999,6,1.0,1,0,0,0,1.0,1,0,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.19899999999999998,0.19899999999999998
6-132426272829-091818181818-000057_2,Al<sub>0.5</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC,7.085,198.0,1400.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.005,0.0,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.0,0.0,0.0,0.0,0.0,0.19899999999999998,0.0,0.0,0.0,0.0,0.9999999999999999,6,1.0,1,0,0,0,1.0,1,0,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.19899999999999998,0.19899999999999998
6-132426272829-091818181818-000057_3,Al<sub>0.5</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC,7.085,198.0,380.0,150.0,70.0,80.34,0.0,13.11,15.15,,0.005,0.0,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.0,0.0,0.0,0.0,0.0,0.19899999999999998,0.0,0.0,0.0,0.0,0.9999999999999999,6,1.0,1,0,0,0,1.0,1,0,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.19899999999999998,0.19899999999999998
6-132426272829-161616161616-000057_2,AlCoCrCuFeNi,10.1016/j.jallcom.2013.08.176,BCC + FCC,7.085,198.0,515.0,369.0,80.0,80.34,0.0,13.11,15.15,,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,1.0000000000000002,6,1.0,1,1,0,0,2.0,1,1,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.16666666666666669,0.16666666666666669
6-132426272829-161616161616-000057_3,AlCoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC + BCC,7.085,198.0,1850.0,930.0,80.0,80.34,0.0,13.11,15.15,,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,1.0000000000000002,6,1.0,1,1,0,0,2.0,1,1,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.16666666666666669,0.16666666666666669
6-132426272829-201515151515-000057_1,Al<sub>1.3</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,BCC + FCC,7.085,198.0,1620.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.013,0.0,0.1974,0.1974,0.1974,0.1974,0.0,0.0,0.0,0.0,0.0,0.1974,0.0,0.0,0.0,0.0,1.0,6,1.0,1,1,0,0,2.0,1,1,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.1974,0.1974
6-132426272829-281414141414-000057_1,Al<sub>2</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC + BCC,7.085,198.0,1620.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.02,0.0,0.196,0.196,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,1.0,6,1.0,1,1,0,0,2.0,1,1,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.196,0.196
6-132426272829-281414141414-000057_2,Al<sub>2</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC + BCC,7.085,198.0,1600.0,120.0,90.0,80.34,0.0,13.11,15.15,,0.02,0.0,0.196,0.196,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,1.0,6,1.0,1,1,0,0,2.0,1,1,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.196,0.196
6-132426272829-081818181818-000057_1,Al<sub>0.45</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,7.403,198.0,335.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.0045000000000000005,0.0,0.1991,0.1991,0.1991,0.1991,0.0,0.0,0.0,0.0,0.0,0.1991,0.0,0.0,0.0,0.0,1.0,6,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.1991,0.1991
