Hardness (HVN),Compressive strength (MPa),Plasticity (%) - Compressive,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,Processing_Temperature_C,Processing_Temperature_K,Total_Composition,Num_Elements,Cu_Content,Fe_Content,Cu_Fe_Ratio,Num_Phases,Num_Crystal_Structures,Method_Other,Method_Unknown,Method_annealing,Method_arc_melting,Method_as_cast,Method_room_temperature,Method_sintering,Has_FCC_Phase,Has_BCC_Phase,Has_HCP_Phase,Has_IM_Phase,Source
410.0,1924.0,0.39,0,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.2,0.0,0,0.0,0.0,0.2,499.85,773.0,1.0,5,0.2,0.0,2.0,1.0,1,False,False,False,False,False,True,False,0,0,0,0,dx.doi.org/10.1007/s12540-016-6034-5
410.0,1900.0,20.0,1,1,0,0,0,0.0,0.0,0,0,0.182,0.182,0.091,0.182,0,0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0,0.182,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.001,6,0.091,0.182,0.5,3.0,2,False,False,False,True,False,False,False,1,1,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
410.0,1900.0,12.0,1,1,0,0,0,0.136,0.0,0,0,0.182,0.182,0.045,0.182,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.182,0,0,0,0.0,0.0,0,0.091,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,7,0.045,0.182,0.24725274725274726,2.0,2,False,True,False,False,False,False,False,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111
410.0,1862.0,1.0,1,1,0,0,0,0.111,0.0,0,0,0.111,0.111,0.111,0.111,0,0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0,0.111,0,0,0,0.0,0.0,0,0.111,0.111,0,0.0,0.0,0.0,499.85,773.0,0.999,9,0.111,0.111,1.0,2.0,2,False,True,False,False,False,False,False,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111
410.0,1800.0,9.0,1,1,0,0,0,0.0,0.0,0,0,0.189,0.189,0.057,0.189,0,0,0.0,0.0,0.0,0.0,0.189,0.0,0.0,0,0.189,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.002,6,0.057,0.189,0.30158730158730157,2.0,2,False,False,False,True,False,False,False,1,1,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
454.0,1795.0,10.6,0,1,0,0,0,0.075,0.0,0,0,0.25,0.0,0.175,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,5,0.175,0.25,0.7,1.0,1,False,False,False,False,False,False,True,0,1,0,0,https://doi.org/10.1016/j.vacuum.2022.110930
420.0,1790.0,23.0,1,1,0,0,0,0.085,0.0,0,0,0.169,0.169,0.169,0.169,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.169,0,0,0,0.068,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,0.9980000000000002,7,0.169,0.169,1.0,2.0,2,False,True,False,False,False,False,False,1,1,0,0,http://dx.doi.org/10.1016/j.jallcom.2014.11.085
532.0,1751.0,11.3,0,1,1,0,0,0.2,0.0,0,0,0.0,0.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.2,0.0,0.2,499.85,773.0,1.0,5,0.2,0.0,2.0,3.0,2,False,True,False,False,False,False,False,0,1,1,0,dx.doi.org/10.1016/j.matdes.2016.06.100
410.0,1750.0,12.0,1,1,0,0,0,0.0,0.0,0,0,0.167,0.167,0.167,0.167,0,0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0,0.167,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.002,6,0.167,0.167,1.0,3.0,2,False,False,False,True,False,False,False,1,1,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
410.0,1700.0,20.0,0,1,0,0,0,0.173,0.0,0,0,0.192,0.192,0.019,0.192,0,0,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0,0.0,0,0,0,0.038,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,0.998,7,0.019,0.192,0.09895833333333333,1.0,1,False,True,False,False,False,False,False,0,1,0,0,dx.doi.org/10.1016/j.matdes.2015.11.013
365.0,1670.0,5.8,1,0,0,0,0,0.2,0.0,0,0,0.0,0.0,0.2,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.2,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,5,0.2,0.2,1.0,2.0,1,False,False,True,False,False,False,False,1,0,0,0,dx.doi.org/10.1016/j.apsusc.2015.07.207
410.0,1650.0,13.0,0,1,0,0,0,0.154,0.0,0,0,0.192,0.192,0.038,0.192,0,0,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0,0.0,0,0,0,0.038,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,0.998,7,0.038,0.192,0.19791666666666666,1.0,1,False,True,False,False,False,False,False,0,1,0,0,dx.doi.org/10.1016/j.matdes.2015.11.013
410.0,1646.0,2.47,0,1,0,1,0,0.0,0.0,0,0,0.0,0.0,0.167,0.0,0,0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0,0.167,0,0,0,0.0,0.0,0,0.167,0.0,0,0.0,0.0,0.167,499.85,773.0,1.002,6,0.167,0.0,1.6700000000000002,2.0,2,False,False,False,False,False,True,False,0,1,0,0,dx.doi.org/10.1007/s12540-016-6034-5
560.0,1620.0,11.3,1,1,0,0,0,0.286,0.0,0,0,0.143,0.143,0.143,0.143,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.143,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.001,6,0.143,0.143,1.0,2.0,2,False,True,False,False,False,False,False,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111
516.0,1617.0,8.2,1,0,0,0,0,0.2,0.0,0,0,0.0,0.0,0.2,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.2,0.0,0,0.0,0.0,0.0,24.850000000000023,298.0,1.0,5,0.2,0.2,1.0,2.0,1,False,False,True,False,False,False,False,1,0,0,0,dx.doi.org/10.1016/j.apsusc.2015.07.207
410.0,1600.0,8.0,0,1,0,0,0,0.115,0.0,0,0,0.192,0.192,0.077,0.192,0,0,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0,0.0,0,0,0,0.038,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,0.998,7,0.077,0.192,0.40104166666666663,1.0,1,False,True,False,False,False,False,False,0,1,0,0,dx.doi.org/10.1016/j.matdes.2015.11.013
410.0,1580.0,17.0,1,1,0,0,0,0.091,0.0,0,0,0.182,0.182,0.091,0.182,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.182,0,0,0,0.0,0.0,0,0.091,0.0,0,0.0,0.0,0.0,499.85,773.0,1.001,7,0.091,0.182,0.5,2.0,2,False,True,False,False,False,False,False,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111
544.0,1569.0,13.5,1,0,0,0,0,0.2,0.0,0,0,0.0,0.0,0.2,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.2,0.0,0,0.0,0.0,0.0,699.85,973.0,1.0,5,0.2,0.2,1.0,2.0,1,False,False,True,False,False,False,False,1,0,0,0,dx.doi.org/10.1016/j.apsusc.2015.07.215
575.0,1490.0,8.5,1,0,0,0,0,0.225,0.0,0,0,0.0,0.0,0.2,0.15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.225,0.0,0,0.0,0.0,0.0,699.85,973.0,1.0000000000000002,5,0.2,0.15,1.3333333333333335,2.0,1,False,False,True,False,False,False,False,1,0,0,0,dx.doi.org/10.1016/j.apsusc.2015.07.207
410.0,1480.05,11.3,1,0,0,0,0,0.0,0.096,0,0,0.192,0.0,0.192,0.192,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.288,0,0,0,0.0,0.0,0,0.0,0.0,0,0.038,0.0,0.0,196.0,469.15,0.998,6,0.192,0.192,1.0,1.0,1,True,False,False,False,False,False,False,1,0,0,0,https://doi.org/10.1016/j.jallcom.2022.164310
410.0,1469.0,16.0,1,1,0,0,0,0.143,0.0,0,0,0.143,0.143,0.143,0.143,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.143,0,0,0,0.0,0.0,0,0.0,0.143,0,0.0,0.0,0.0,499.85,773.0,1.001,7,0.143,0.143,1.0,2.0,2,False,True,False,False,False,False,False,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111
410.0,1465.0,2.0,0,1,0,0,0,0.2,0.0,0,0,0.1,0.1,0.1,0.1,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0,0.1,0,0,0,0.0,0.0,0,0.1,0.1,0,0.0,0.0,0.0,499.85,773.0,0.9999999999999999,9,0.1,0.1,1.0,1.0,1,False,True,False,False,False,False,False,0,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111
