Model,CV RMSE,Test RMSE,Test MAE,Test R²
Random Forest,421.3005835745679,306.61962910832284,221.9053044795669,0.6969233987859565
SVR,559.7659165485954,460.2664149281605,347.24363418384803,0.3170780486576774
XGBoost,407.42135574854376,335.7572800689274,225.41247851762617,0.6365845585537505
Ensemble,427.2506004690963,336.0572522377377,249.24401942695397,0.6359349034458314
