Id,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
893,Al0.5CoCrCuFeNiSi0.4,FCC+BCC,420,,,,1790,23,,http://dx.doi.org/10.1016/j.jallcom.2014.11.085,1,1,0,0,0,0.085,0,0,0,0.169,0.169,0.169,0.169,0,0,0,0,0,0,0,0,0,0,0.169,0,0,0,0.068,0,0,0,0,0,0,0,0
813,CuYZrHfAl,HCP1+HCP2+BCC,532,,,,1751,,,dx.doi.org/10.1016/j.matdes.2016.06.100,0,1,1,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2
361,CoCrCuFeMoNi,FCC1+FCC2+BCC,,,,,1750,12,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0.167,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0
927,Al0.9Si0.2CrFeCoNCu0.1,BCC,,,,,1700,20,,dx.doi.org/10.1016/j.matdes.2015.11.013,0,1,0,0,0,0.173,0,0,0,0.192,0.192,0.019,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
648,Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,FCC1 + FCC2,365,,,,1670,5.8,773K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
926,Al0.8Si0.2CrFeCoNCu0.2,BCC,,,,,1650,13,,dx.doi.org/10.1016/j.matdes.2015.11.013,0,1,0,0,0,0.154,0,0,0,0.192,0.192,0.038,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
640,TiZrHfNiCuNb,BCC+Laves,,,,,1646,2.47,room temperature under compressive mode at a strain rate of 1×10-3/s,dx.doi.org/10.1007/s12540-016-6034-5,0,1,0,1,0,0,0,0,0,0,0,0.167,0,0,0,0.167,0,0,0,0,0,0.167,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0.167
58,Al2.0CoCrCuFeNi,FCC + BCC,560,,,,1620,,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.286,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
649,Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,FCC1 + FCC2,516,,,,1617,8.2,298K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
925,Al0.6Si0.2CrFeCoNCu0.4,BCC,,,,,1600,8,,dx.doi.org/10.1016/j.matdes.2015.11.013,0,1,0,0,0,0.115,0,0,0,0.192,0.192,0.077,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
59,Al0.5CoCrCu0.5FeNiTi0.5,FCC + BCC,,,,,1580,17,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.091,0,0,0,0.182,0.182,0.091,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
658,Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,FCC1 + FCC2,544,,,,1569,13.5,973K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.215,1,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
652,Al22.5Ti22.5Ni20.0Cu20.0Fe15.0,FCC1 + FCC2,575,,,,1490,8.5,973K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
573,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1480.05,,"−196 °C, 36 h, 5 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1,0,0,0,0,0,0.096,0,0,0.192,0,0.192,0.192,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0.038,0,0
57,AlCoCrCuFeNiV,FCC + BCC,,,,,1469,16,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0.143,0,0,0,0
153,Al20(CoCrCuFeMnNiTiV)80,BCC,,,,,1465,2,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.2,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0
154,Al40(CoCrCuFeMnNiTiV)60,BCC + Im,,,,,1461,1,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.4,0,0,0,0.075,0.075,0.075,0.075,0,0,0,0,0,0.075,0,0,0,0,0.075,0,0,0,0,0,0,0.075,0.075,0,0,0,0
