Id,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
527,Al35.0Mg20.0Zn30.0Cu5.0Si10.0,FCC+Mg2Si,,,,,718,6.2,As-cast,https://doi.org/10.1016/j.jallcom.2021.163508,1,0,0,1,0,0.35,0,0,0,0,0,0.05,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0
49,CoCrCuFeNiTi0.5,FCC,,,,,700,29,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
792,CrFeCoNiCuTi0.5,,,,,,700,21,,dx.doi.org/10.1016/j.matchar.2016.02.018,0,0,0,0,0,0,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
924,Al0.5Si0.2CrFeCoNCu0.5,FCC+BCC,,,,,650,44,,dx.doi.org/10.1016/j.matdes.2015.11.013,1,1,0,0,0,0.096,0,0,0,0.192,0.192,0.096,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
882,FeCrNiCoCu0.5Al0.7,FCC+BCC,320,,,,630,42.7,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,1,1,0,0,0,0.135,0,0,0,0.192,0.192,0.096,0.192,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0
158,(CuMnNi)90Sn10,FCC + Im,318,,,,630,20,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0
526,Al35.0Mg25.0Zn30.0Cu5.0Si5.0,FCC+Mg2Si,,,,,559,4.6,As-cast,https://doi.org/10.1016/j.jallcom.2021.163508,1,0,0,1,0,0.35,0,0,0,0,0,0.05,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.3,0
923,Al0.4Si0.2CrFeCoNCu0.6,FCC,,,,,550,50,,dx.doi.org/10.1016/j.matdes.2015.11.013,1,0,0,0,0,0.077,0,0,0,0.192,0.192,0.115,0.192,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0
655,Al25.0Ti25.0Ni25.0Cu25.0,FCC,537,,,,536,0.85,298K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0
157,(CuMnNi)90Al10,FCC + Im,241,,,,515,40,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
922,Al0.2Si0.2CrFeCoNiCu0.8,FCC,,,,,500,50,,dx.doi.org/10.1016/j.matdes.2015.11.013,1,0,0,0,0,0.038,0,0,0,0.192,0.192,0.154,0.192,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0.038,0,0,0,0,0,0,0,0
654,Al25.0Ti25.0Ni25.0Cu25.0,FCC,521,,,,498,0.67,773K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0
74,Al8.0Cu0.5Li0.5Mg0.5Zn0.5,FCC + IM,,,,,488,17,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0.8,0,0,0,0,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
53,Al0.5CoCrCuFeNi,FCC,210,,,,388,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.091,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
160,(CuMnNi)95Sn5,FCC + Im,205,,,,380,63,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0,0,0.317,0,0,0,0,0,0,0.317,0,0,0,0,0.317,0,0,0,0,0.05,0,0,0,0,0,0,0
891,FeCrNiCoAl0.5Cu,FCC,275,,,,350,,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,1,0,0,0,0,0.091,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
881,FeCrNiCoCu0.5Al0.5,,245,,,,340,,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,0,0,0,0,0,0.1,0,0,0,0.2,0.2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
159,(CuMnNi)95Al5,FCC,166,,,,330,45,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.05,0,0,0,0,0,0.317,0,0,0,0,0,0,0.317,0,0,0,0,0.317,0,0,0,0,0,0,0,0,0,0,0,0
889,FeCrNiCoAl0.5Cu0.5,FCC,245,,,,325,,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,1,0,0,0,0,0.1,0,0,0,0.2,0.2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
890,FeCrNiCoAl0.5Cu0.75,FCC,245,,,,320,,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,1,0,0,0,0,0.095,0,0,0,0.19,0.19,0.143,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
70,AlCuNiTi,FCC,537,,,,300,1,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0
48,CoCrCuFeNi,FCC,132,,,,230,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
155,(CuMnNi)75Zn25,FCC,147,,,,215,60,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0
156,(CuMnNi)80Zn20,FCC,109,,,,140,65,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0.267,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.2,0
