Unique ID,Composition,doi,Phase,ρ (g/cm<sup>3</sup>),E (GPa),σ (MPa) at 23 C,σ(MPa) at 1000 C,σ(MPa) at 1200 C,G (GPa),C11 (GPa),Fracture Toughness,Ductility [%],Test Type
6-132426272829-331313131313-000057_1,Al<sub>2.5</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,6.506,,285,,,,,,,
6-132426272829-501010101010-000057_1,Al<sub>5</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,5.62,,344,,,,,,,
6-132426272829-091818181818-000079_1,Al<sub>0.5</sub>CoCrCuFeNi,10.1016/j.actamat.2015.07.004,FCC-1 + FCC-2,,,1284,,,,,,,
6-222426272829-131717171717-000080_1,CrFeCoNiCuTi<sub>0.8</sub>,10.1016/j.matdes.2015.06.072,,7.58,,1042,,,,,,,
6-222426272829-091818181818-000080_1,CrFeCoNiCuTi<sub>0.5</sub>,10.1016/j.matdes.2015.06.072,,7.82,,700,,,,,,,
5-2426272829-2020202020-000080_1,CrFeCoNiCu,10.1016/j.matdes.2015.06.072,,8.33,,230,,,,,,,
6-132426272829-161616161616-000080_1,AlCrFeCoNiCu,10.1016/j.matdes.2015.06.072,,7.07,,1303,,,,,,,
7-13232426272829-14141414141414-000080_1,AlCrFeCoNiCuV,10.1016/j.matdes.2015.06.072,,6.92,,1469,,,,,,,
7-13222426272829-00178171717174-000080_1,Cu<sub>0.25</sub>AlCoCrFeNiTi<sub>0.5</sub>,10.1016/j.matdes.2015.06.072,,6.54,,1994,,,,,,,
6-132426272829-161616161616-000086_1,AlCoCrCuFeNi,10.1016/j.jallcom.2010.03.074,,,,1300,,,,,,,
7-13242627282942-01616161616163-000086_1,AlCoCrCuFeNiMo<sub>0.2</sub>,10.1016/j.jallcom.2010.03.074,,,,1420,,,,,,,
7-13242627282942-01515151515156-000086_1,AlCoCrCuFeNiMo<sub>0.4</sub>,10.1016/j.jallcom.2010.03.074,,,,1690,,,,,,,
7-13242627282942-01515151515159-000086_1,AlCoCrCuFeNiMo<sub>0.6</sub>,10.1016/j.jallcom.2010.03.074,,,,1880,,,,,,,
7-13242627282942-14141414141411-000086_1,AlCoCrCuFeNiMo<sub>0.8</sub>,10.1016/j.jallcom.2010.03.074,,,,1920,,,,,,,
7-13242627282942-14141414141414-000086_1,AlCoCrCuFeNiMo,10.1016/j.jallcom.2010.03.074,,,,1750,,,,,,,
6-222426272829-091818181818-000107_1,CuCoNiFeCrTi<sub>0.5</sub>,10.1016/j.msea.2012.12.072,,,,1042,,,,,,2.11,C
6-132426272829-161616161616-000107_1,AlCuCoFeNiCr,10.1016/j.msea.2012.12.072,,,,1303,,,,,,24,C
7-13222426272829-14141414141414-000107_1,AlCuCoFeNiCrTi,10.1016/j.msea.2012.12.072,,,,1234,,,,,,9,C
7-13242526272829-14141414141414-000107_1,AlCuCoFeNiCrMn,10.1016/j.msea.2012.12.072,,,,1005,,,,,,15,C
7-13232426272829-14141414141414-000107_1,AlCuCoFeNiCrV,10.1016/j.msea.2012.12.072,,,,1469,,,,,,16,C
7-13222426272829-01216161616164-000107_1,TiCrFeCoNiAl<sub>0.75</sub>Cu<sub>0.25</sub>,10.1016/j.msea.2012.12.072,,,,1900,,,,,,12,C
7-13242627282942-01515151515159-000107_1,AlCuCoFeNiCrMo<sub>0.6</sub>,10.1016/j.msea.2012.12.072,,,,1880,,,,,,1.4,C
7-13222426272829-00168161616168-000107_1,AlCoNiFeCrTi<sub>0.5</sub>Cu<sub>0.5</sub>,10.1016/j.msea.2012.12.072,,,,1984,,,,,,6.04,C
6-222426272829-091818181818-000109_1,CuCoFeNiCrTi<sub>0.5</sub>,10.1016/j.matdes.2012.08.048,,,,700,,,,,,21.6,C
6-132426272829-161616161616-000109_1,CuCoFeNiCrAl,10.1016/j.matdes.2012.08.048,,,,1030,,,,,,24,C
7-13222426272829-14141414141414-000109_1,CuCoFeNiCrAlTi,10.1016/j.matdes.2012.08.048,,,,1230,,,,,,9,C
7-13242526272829-14141414141414-000109_1,CuCoFeNiCrAlMn,10.1016/j.matdes.2012.08.048,,,,1000,,,,,,15,C
7-13232426272829-14141414141414-000109_1,CuCoFeNiCrAlV,10.1016/j.matdes.2012.08.048,,,,1470,,,,,,16,C
7-13222426272829-00168161616168-000109_1,Cu<sub>0.5</sub>CoCrFeNiAlTi<sub>0.5</sub>,10.1016/j.matdes.2012.08.048,,,,1980,,,,,,6,C
7-13242627282942-01515151515156-000109_1,CuCoFeNiCrAlMo<sub>0.4</sub>,10.1016/j.matdes.2012.08.048,,,,1690,,,,,,1.5,C
6-132426272829-013191919199-000111_1,FeCrNiCoAl<sub>0.7</sub>Cu<sub>0.5</sub>,10.1016/j.msea.2014.01.044,FCC,,,630,,,,,,42.7,C
6-132426272829-015202020205-000111_1,FeCrNiCoAl<sub>0.75</sub>Cu<sub>0.25</sub>,10.1016/j.msea.2014.01.044,FCC,,,859,,,,,,43.6,C
8-01313222426272829-0013913131313136-000111_1,FeCrNiCoAl<sub>0.7</sub>Cu<sub>0.5</sub>þ<sub>10</sub> vol%TiC,10.1016/j.msea.2014.01.044,FCC,,,1290,,,,,,29.2,C
8-01413222426272829-0141014141414143-000111_1,FeCrNiCoAl<sub>0.75</sub>Cu<sub>0.25</sub>þ<sub>10</sub> vol%TiC,10.1016/j.msea.2014.01.044,FCC,,,1637,,,,,,31.8,C
6-222426272829-091818181818-000111_1,CoCrCuFeNiTi<sub>0.5</sub>,10.1016/j.msea.2014.01.044,FCC,,,700,,,,,,21.6,C
6-222426272829-131717171717-000111_1,CoCrCuFeNiTi<sub>0.8</sub>,10.1016/j.msea.2014.01.044,FCC,,,1042,,,,,,2.11,C
6-222426272829-161616161616-000111_1,CoCrCuFeNiTi,10.1016/j.msea.2014.01.044,FCC,,,1272,,,,,,1.6,C
9-132223242526272829-111111111111111111-000111_1,AlCrMnFeCoNiCuTiV,10.1016/j.msea.2014.01.044,FCC,,,1862,,,,,,0.95,C
6-132426272829-161616161616-000111_1,AlCrFeCoNiCu,10.1016/j.msea.2014.01.044,FCC,,,1303,,,,,,24,C
7-13242526272829-14141414141414-000111_1,AlCrFeCoNiCuMn,10.1016/j.msea.2014.01.044,FCC,,,1005,,,,,,15,C
7-13222426272829-14141414141414-000111_1,AlCrFeCoNiCuTi,10.1016/j.msea.2014.01.044,FCC,,,1234,,,,,,9,C
7-13232426272829-14141414141414-000111_1,AlCrFeCoNiCuV,10.1016/j.msea.2014.01.044,FCC,,,1469,,,,,,16,C
6-132426272829-161616161616-000128_1,AlCoCrCuFeNi,10.1016/j.msea.2017.02.072,BCC + FCC,,,1370,,,,,,12,C
6-132426272829-011919191919-000129_1,Al<sub>0.1</sub>CoCrCuFeNi,10.1016/j.wear.2017.01.020,FCC,7.45,186,160,,,,,,58,T
6-132326272829-021020302018-000143_1,Ni<sub>1.5</sub>CoFeCu<sub>0.9</sub>Al<sub>0.1</sub>V<sub>0.5</sub>,10.1016/j.msea.2017.09.119,FCC,,,1219,,,,,,35,C
6-132326272829-041020302016-000143_1,Ni<sub>1.5</sub>CoFeCu<sub>0.8</sub>Al<sub>0.2</sub>V<sub>0.5</sub>,10.1016/j.msea.2017.09.119,FCC,,,1504,,,,,,16.9,C
6-132326272829-061020302014-000143_1,Ni<sub>1.5</sub>CoFeCu<sub>0.7</sub>Al<sub>0.3</sub>V<sub>0.5</sub>,10.1016/j.msea.2017.09.119,FCC,,,1721,,,,,,9,C
5-1326272829-2020202020-000146_1,AlCoCuFeNi,10.1016/j.matdes.2016.12.036,,,202,1060,,,,,,19.1,C
6-132426272829-161616161616-000146_1,AlCoCuFeNiCr,10.1016/j.matdes.2016.12.036,,,219,1285,,,,,,24.6,C
6-132226272829-161616161616-000146_1,AlCoCuFeNiTi,10.1016/j.matdes.2016.12.036,,,231,1612,,,,,,12.8,C
7-13222426272829-14141414141414-000146_1,AlCoCuFeNiCrTi,10.1016/j.matdes.2016.12.036,,,239,1523,,,,,,8.1,C
5-2426272829-2020202020-000152_1,CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,320,,,,,,60,C
6-242627282964-019191919190-000152_1,Gd<sub>0.05</sub>CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,300,,,,,,60,C
6-242627282964-019191919191-000152_1,Gd<sub>0.1</sub>CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,526,,,,,,22.9,C
