Unique ID,Composition,doi,Phase,ρ (g/cm<sup>3</sup>),E (GPa),σ (MPa) at 23 C,σ(MPa) at 1000 C,σ(MPa) at 1200 C,G (GPa),C11 (GPa),Fracture Toughness,Ductility [%],Test Type
6-132426272829-008171733178-000297_3,Al<sub>8</sub>Co<sub>17</sub>Cr<sub>17</sub>Cu<sub>8</sub>Fe<sub>17</sub>Ni<sub>33</sub>,10.1016/j.matchar.2018.06.036,FCC+L12+Cr23C6,,,357,,,,,,9,T
6-132426272829-008171733178-000297_4,Al<sub>8</sub>Co<sub>17</sub>Cr<sub>17</sub>Cu<sub>8</sub>Fe<sub>17</sub>Ni<sub>33</sub>,10.1016/j.matchar.2018.06.036,FCC+L12+Cr23C6,,,365,,,,,,0.1,T
6-132426272829-008171733178-000297_5,Al<sub>8</sub>Co<sub>17</sub>Cr<sub>17</sub>Cu<sub>8</sub>Fe<sub>17</sub>Ni<sub>33</sub>,10.1016/j.matchar.2018.06.036,FCC+L12,,,215,,,,,,39,T
6-132426272829-091818181818-000297_1,Al<sub>9</sub>Co<sub>18</sub>Cr<sub>18</sub>Cu<sub>18</sub>Fe<sub>18</sub>Ni<sub>18</sub>,10.1016/j.matchar.2018.06.036,FCC1+FCC2,,,1284,,,,,,7.6,T
6-132426272829-091818181818-000297_2,Al<sub>9</sub>Co<sub>18</sub>Cr<sub>18</sub>Cu<sub>18</sub>Fe<sub>18</sub>Ni<sub>18</sub>,10.1016/j.matchar.2018.06.036,FCC,,,1290,,,,,,5,T
6-132426272829-091818181818-000297_3,Al<sub>9</sub>Co<sub>18</sub>Cr<sub>18</sub>Cu<sub>18</sub>Fe<sub>18</sub>Ni<sub>18</sub>,10.1016/j.matchar.2018.06.036,FCC1+FCC2,,,650,,,,,,27,T
6-132426272829-161616161616-000297_1,AlCoCrCuFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC1+FCC2,,,790,,,,,,0.2,T
6-132426272829-161616161616-000297_2,AlCoCrCuFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC1+FCC2+s,,,1040,,,,,,1,T
6-132426272829-003181836183-000297_3,Al<sub>4</sub>Co<sub>19</sub>Cr<sub>19</sub>Cu<sub>4</sub>Fe<sub>19</sub>Ni<sub>37</sub>,10.1016/j.matchar.2018.06.036,FCC,,,719,,,,,,30,T
6-132426272829-091818181818-000297_4,Al<sub>9</sub>Co<sub>18</sub>Cr<sub>18</sub>Cu<sub>18</sub>Fe<sub>18</sub>Ni<sub>18</sub>,10.1016/j.matchar.2018.06.036,FCC,,,1290,,,,,,5,T
6-132426272829-161616161616-000297_3,AlCoCrCuFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC1+FCC2,,,350,,,,,,5,T
6-132426272829-161616161616-000297_4,AlCoCrCuFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC1+FCC2+s,,,63,,,,,,63,T
6-132426272829-091818181818-000297_5,Al<sub>9</sub>Co<sub>18</sub>Cr<sub>18</sub>Cu<sub>18</sub>Fe<sub>18</sub>Ni<sub>18</sub>,10.1016/j.matchar.2018.06.036,FCC,,,180,,,,,,5,T
6-132426272829-091818181818-000297_6,Al<sub>9</sub>Co<sub>18</sub>Cr<sub>18</sub>Cu<sub>18</sub>Fe<sub>18</sub>Ni<sub>18</sub>,10.1016/j.matchar.2018.06.036,FCC1+FCC2,,,160,,,,,,12,T
6-132426272829-091818181818-000297_7,Al<sub>9</sub>Co<sub>18</sub>Cr<sub>18</sub>Cu<sub>18</sub>Fe<sub>18</sub>Ni<sub>18</sub>,10.1016/j.matchar.2018.06.036,FCC,,,180,,,,,,5,T
6-132426272829-161616161616-000299_1,AlCoCrCuFeNi,10.1016/j.mtla.2019.100259,,,,1051,,,,,,22.5,C
7-13242627282942-01515151515157-000299_1,AlCoCrCuFeNiMo<sub>0.5</sub>,10.1016/j.mtla.2019.100259,,,,2751,,,,,,2.5,C
6-132426272829-161616161616-000314_1,AlCoCrFeNiCu,10.1016/j.triboint.2018.10.012,BCC+B2,,,1170,,,,,,,
6-222426272829-131717171717-000318_1,CoCrCuFeNiTi<sub>0.8</sub>,10.1016/j.jallcom.2019.07.100,,,,1042,,,,,,2.11,C
6-222426272829-161616161616-000318_1,CoCrCuFeNiTi<sub>1.0</sub>,10.1016/j.jallcom.2019.07.100,,,,1272,,,,,,,
5-1326272829-2020202020-000318_1,AlCoCuFeNi,10.1016/j.jallcom.2019.07.100,,,,1060,,,,,,19.1,C
6-132426272829-161616161616-000318_1,AlCoCuFeNiCr,10.1016/j.jallcom.2019.07.100,,,,1285,,,,,,24.6,C
6-132226272829-161616161616-000318_1,AlCoCuFeNiTi,10.1016/j.jallcom.2019.07.100,,,,1612,,,,,,12.8,C
7-13222426272829-14141414141414-000318_1,AlCoCuFeNiCrTi,10.1016/j.jallcom.2019.07.100,,,,1523,,,,,,8.1,C
5-2426272829-2020202020-000375_1,CoCrCuFeNi,10.1016/j.jallcom.2020.156466,,,,230,,,,,,51,C
5-1322262729-2222152020-000375_1,Al<sub>22.5</sub>Cu<sub>20</sub>Fe<sub>15</sub>Ni<sub>20</sub>Ti<sub>22.5</sub>,10.1016/j.jallcom.2020.156466,,,,980,,,,,,6.6,C
5-1322262729-2020202020-000375_1,AlCuFeNiTi,10.1016/j.jallcom.2020.156466,,,,1074,,,,,,8.2,C
5-1322262729-2222152020-000375_2,Al<sub>22.5</sub>Cu<sub>20</sub>Fe<sub>15</sub>Ni<sub>20</sub>Ti<sub>22.5</sub>,10.1016/j.jallcom.2020.156466,,,,737,,,,,,8.8,C
5-1322262729-2020202020-000375_2,AlCuFeNiTi,10.1016/j.jallcom.2020.156466,,,,697,,,,,,4.3,C
6-132426272829-003181837183-000392_1,CrFeCoNi<sub>2</sub> Cu<sub>0.2</sub>Al<sub>0.2</sub>,10.1016/j.pmatsci.2020.100754,,,,720,,,,,,31,T
6-132426272829-003181837183-000392_2,CrFeCoNi<sub>2</sub> Cu<sub>0.2</sub>Al<sub>0.2</sub>,10.1016/j.pmatsci.2020.100754,,,,460,,,,,,32,T
6-132224252629-000063253333-000406_1,Al<sub>63</sub>Ti<sub>25</sub>Cr<sub>3</sub>Mn<sub>3</sub>Fe<sub>3</sub>Cu<sub>3</sub>,10.1016/j.scriptamat.2023.115928,Multiphase,3.65,,409,,,,,,20.5,C
6-132224252629-000060205555-000406_1,Al<sub>60</sub>Ti<sub>20</sub>Cr<sub>5</sub>Mn<sub>5</sub>Fe<sub>5</sub>Cu<sub>5</sub>,10.1016/j.scriptamat.2023.115928,Multiphase,3.88,,519,,,,,,18,C
6-132224252629-000552051055-000406_1,Al<sub>55</sub>Ti<sub>20</sub>Cr<sub>5</sub>Mn<sub>10</sub>Fe<sub>5</sub>Cu<sub>5</sub>,10.1016/j.scriptamat.2023.115928,Multiphase,4.08,,650,,,,,,16.7,C
6-132224252629-005020101055-000406_1,Al<sub>50</sub>Ti<sub>20</sub>Cr<sub>10</sub>Mn<sub>10</sub>Fe<sub>5</sub>Cu<sub>5</sub>,10.1016/j.scriptamat.2023.115928,Multiphase,4.27,,716,,,,,,12.4,C
5-2425262729-0242424241-000426_1,Cu<sub>0.07</sub>CrFeMnNi,10.1016/j.intermet.2023.108100,FCC,,206.21,109.28,,,80.9,,,,
5-2425262729-0242424243-000426_1,Cu<sub>0.14</sub>CrFeMnNi,10.1016/j.intermet.2023.108100,FCC,,207.74,108.62,,,81.56,,,,
6-132425262729-003232323231-000426_1,Al<sub>0.15</sub>Cu<sub>0.07</sub>CrFeMnNi,10.1016/j.intermet.2023.108100,FCC,,205.3,118.86,,,80.34,,,,
6-132425262729-003232323233-000426_1,Al<sub>0.15</sub>Cu<sub>0.14</sub>CrFeMnNi,10.1016/j.intermet.2023.108100,FCC,,205.42,119.72,,,80.42,,,,
6-132425262729-006222222221-000426_1,Al<sub>0.3</sub>Cu<sub>0.07</sub>CrFeMnNi,10.1016/j.intermet.2023.108100,FCC,,202.93,124.19,,,79.15,,,,
6-132425262729-006222222223-000426_1,Al<sub>0.3</sub>Cu<sub>0.14</sub>CrFeMnNi,10.1016/j.intermet.2023.108100,FCC,,203.96,117.13,,,79.82,,,,
